word,count
br,4
xmlnsbr,14
xmlnspdivdiv,14
classpagediv,91
page,94
325divp,1
classtexte,77
a,2635
g,15
has,122
two,96
sounds,7
long,76
as,863
sca8ne,1
and,3456
short,21
men,153
e,206
is,1330
the,6980
most,134
frequent,12
vowel,5
in,2137
english,38
lan,3
guage,3
for,674
it,955
not,823
only,152
used,65
like,160
rest,50
beginning,22
or,1299
end,124
of,4846
words,67
but,526
peculiar,13
9,24
quality,25
lengthening,2
foregoing,3
cin,1
cine,1
min,3
mine,38
goap,1
gipe,1
glid,1
glide,3
brid,1
bride,4
chin,1
chine,1
whip,1
wipe,2
thin,11
thine,21
nd,4
noade,1
tan,1
tine,1
plim,1
plime,1
yet,119
sometimes,43
occurs,1
final,8
where,134
lengthened,3
goane,1
knowledge,37
xc3x89dge,1
goave,1
anciently,6
almost,27
every,109
word,89
ended,7
with,1085
ei,1
can,150
ranne,1
year,35
yeare,1
great,197
greate,1
need,13
neede,1
fock,1
flocke,1
probable,4
that,1204
this,470
had,205
at,350
first,115
soft,18
sound,35
female,11
french,182
afterwards,11
was,302
poetry,13
either,94
mute,3
vocal,6
verse,8
required,4
till,36
last,43
became,10
universally,5
silent,3
ea,3
commonly,17
rather,32
by,972
immediate,8
addition,12
than,238
apposition,1
to,4804
mean,28
sell,5
sal,2
mit,3
na9at,1
na9t,1
moaat,1
each,92
pron,2
elc,1
saxon,67
elsh,1
dutch,18
ilk,1
scottish,6
1,607
though,69
your,198
orbs,6
diffrent,1
greatness,13
be,800
both,90
are,610
others,78
use,91
disposd,3
his,773
inclose,14
yours,4
inclosd,2
dryden,131
2,627
one,375
any,442
number,26
sense,76
rare,11
except,31
thxe2x80x99,44
invention,3
all,545
admirxe2x80x99d,2
how,107
he,642
th,59
inventer,1
missd,2
milton,36
b,338
vi,73
let,91
adamantine,1
coat,7
gird,4
well,144
fit,37
helm,3
hunger,3
other,181
creature,12
tames,1
thou,142
art,60
harmd,1
therefore,31
movxe2x80x99d,1
thy,156
temperance,2
invincible,3
besides,10
miltons,90
paradis,10
reg,3
wise,29
plato,2
said,37
world,101
stord,2
succour,1
might,85
afford,8
denham,24
toa,25
correspondent,1
whether,48
greater,46
tis,43
they,555
eat,27
shakespeares,170
macbeth,36
esteem,11
better,43
themselves,83
phil,10
ii,105
3,312
loveliest,1
women,14
heaven,26
soul,68
beauty,20
virtue,39
shine,9
ever,114
round,48
thee,73
brightning,1
divine,34
addison,49
cato,14
ead,2
ed,6
compound,7
eadig,1
simple,14
names,17
denotes,3
happiness,18
blessedness,2
thus,54
eadward,1
happy,21
preserver,1
eadulph,1
assistance,4
eadgar,1
power,118
eadwin,1
conqueror,1
which,705
macarius,1
eupo,1
kmus,1
fausa,1
fortunatus,1
felicianus,1
ampc,7
do,141
some,255
measure,32
resemble,6
may,240
also,52
cases,7
derived,3
from,1370
eath,6
signifies,9
easy,37
gentle,16
mild,4
gib,1
camden,4
eager,21
adj,310
seazor,1
aigre,2
struck,3
defire,1
ardently,3
wishing,2
keenly,2
desirous,3
vehe,1
ment,22
desire,27
hotly,2
longing,2
aciion,1
intent,5
thought,34
chiess,1
honourable,7
danger,20
sought,9
drydens,128
ovid,8
read,11
achates,1
came,20
4oan,1
joy,25
ambitious,2
youth,19
mother,9
heard,19
journey,9
soon,34
prepard,2
longs,1
beneath,5
him,261
survey,8
guide,7
chariot,2
give,88
day,56
love,98
inflamxe2x80x99d,1
on,607
bliss,6
smotherd,3
her,271
allsouxe2x80x99s,1
ovids,3
metam,1
after,69
before,86
thing,126
fought,4
hot,23
disposition,11
vehement,6
ardent,4
impetuous,3
apt,15
quicken,4
spirits,53
allay,4
too,74
hooker,99
v,497
s,499
38,3
