word,count
br,12
xmlnsbr,121
xmlnspdivdiv,56
classpagediv,110
classpagenum,110
no,456
page,119
number,150
divp,110
classtextt,101
t,187
a,4038
b,214
consonant,1
which,683
at,433
the,7963
beginning,11
and,4084
end,69
of,4954
words,65
has,132
always,42
th,76
same,108
sound,70
nearly,4
approaching,3
to,5262
d5,1
but,630
before,130
an,487
i,1107
when,334
followed,6
by,951
vowel,2
ob,11
9,48
scure,1
as,962
nation,16
salvation,2
except,8
whens,1
precedes,1
toa,153
christian,12
question,8
taxe2x80x99bby,1
n,232
s,529
tabi,1
tabino,1
italian,38
tabis,1
french,123
kind,78
waved,1
silk,10
brocades,1
tabies,1
gauses,1
swift,160
tabby,3
adj,333
brinded,1
brindled,1
varied,3
with,1500
different,22
co,6
lours,2
cat,2
sat,9
in,2379
chimneycorner,1
addison,161
on,678
her,372
rivals,3
face,41
she,176
deep,26
will,402
mark,21
new,67
disgrace,6
prior,75
tabefaxe2x80x99ction,1
ns,429
tabefacio,2
latin,136
aabt,14
wasting,3
awaw,1
toarry,2
v,392
waste,12
be,966
ex,11
tenuated,1
disease,16
following,16
example,13
it,1011
is,1266
impro,1
perly,2
verb,50
active,15
meat,9
eaten,5
greater,41
quantity,20
than,263
convenient,6
taleset,1
body,98
harvey,15
consumptions,5
tabard,2
loan,1
staberda,1
low,54
frj,1
xc3x81,1
long,119
taxe2x80x99berd,1
gown,12
heralds,5
coat,8
taberder,1
from,1359
taberd,1
one,468
who,295
wears,4
taxe2x80x99bernacle,1
stabernacle,1
fr,331
tabernaculum,1
lat,295
temporary,8
habitation,3
casual,2
dwelling,2
they,706
sudden,32
reard,3
coelestial,10
tabernacles,1
where,124
slept,5
tannd,3
cool,6
winds,20
miltons,59
par,59
loft,21
2,600
sacred,17
place,114
worship,7
greatest,18
conqueror,3
did,137
not,929
only,139
compose,5
his,1124
divine,29
odes,2
set,63
them,376
musick,19
works,20
though,133
consecrated,2
tabernacle,4
became,9
national,1
entertainment,5
well,121
devotion,3
people,67
addisons,71
spec,1
noa,76
405,1
noun,71
enshrine,1
house,56
word,135
was,423
made,158
flesh,19
tabernacled,1
amongst,18
us,153
we,359
beheld,10
glory,13
john,31
14,18
taxe2x80x99bid,1
tabide,1
xc3x89talia,1
wasted,7
consumptive,3
tabid,2
persons,31
milk,14
best,54
restorative,1
being,171
chyle,2
already,11
preparcd,1
arbuthnot,65
aliments,11
taxe2x80x99bidness,1
consumptiveness,1
state,123
ing,34
tablature,1
m,434
tablej,1
painting,5
walls,12
or,1097
ceilings,1
taxe2x80x99ble,1
stable,4
tabula,3
1,456
any,318
flat,9
level,7
surface,10
upon,346
castle,4
hill,12
there,292
bagnio,1
paved,1
fair,62
tables,22
marble,4
sandys,10
horizontal,1
raised,11
above,41
ground,61
used,105
for,837
meals,2
other,179
purposes,8
may,263
again,59
give,107
our,337
sleep,21
nights,10
shakespeare,471
help,21
search,6
my,490
if,355
find,70
what,258
seek,14
let,117
me,296
ever,46
your,272
table,41
sport,15
children,29
never,126
asked,7
thing,156
content,10
edly,1
took,105
given,40
locke,135
education,25
this,619
shuts,3
out,257
all,585
conversation,9
most,117
agreeable,5
intercourses,1
speciator,12
nor,127
hath,135
fruit,27
core,1
kernel,1
differing,5
apples,3
yet,149
good,156
mortimer,12
nymph,5
spread,26
ambrosial,5
cates,1
nectar,1
rosy,4
red,18
pope,131
3,289
sitting,3
partaking,1
some,324
wine,30
fill,16
full,82
drink,33
thxe2x80x99,47
general,21
joy,27
whole,69
4,163
fare,7
itself,56
he,887
Æeep,1
5,111
tablet,4
written,37
en,12
raved,1
xc2xa3,5
writer,6
their,772
hearts,19
hoaoaker,1
iii,58
twas,9
pretty,13
plague,10
see,135
him,422
every,111
hour,17
fit,49
draw,52
arched,4
brows,3
hawking,1
eye,40
curls,5
these,215
true,78
notes,16
immortality,3
shall,250
davies,19
prepard,2
pay,24
verses,6
rude,11
detested,1
act,76
gratitude,6
evxe2x80x99n,8
had,259
been,134
elegy,1
now,163
offerd,2
health,11
vow,3
dryden,431
are,660
books,12
extant,1
atheist,4
must,147
allow,6
oaf,47
proper,32
evidence,13
even,28
mighty,10
volumes,5
visible,10
nature,99
everlasting,6
right,55
reason,42
wherein,22
do,169
wilfully,1
shut,10
eyes,65
read,21
own,119
folly,13
finger,8
god,126
much,151
plainer,1
more,291
terrible,14
sentence,15
belshazzars,1
hand,82
wall,13
bentleys,9
sermons,76
among,45
romans,8
judge,29
praetor,1
granted,7
admini,1
stration,1
according,28
testament,6
contrary,20
those,202
ayliffes,6
parergon,6
twelve,20
were,249
called,85
into,336
succession,5
parents,12
that,1372
power,74
ayliffe,6
6,76
tableau,1
picture,11
anything,41
exhibits,1
view,25
lovd,3
myself,23
till,95
infixed,1
drawn,40
flattring,1
jalysus,1
bacchus,3
so,517
esteemed,5
rather,43
lose,20
fathers,20
images,8
peacham,11
saint,17
anthony,1
hangs,6
up,282
poor,49
peasant,1
fancied,1
saved,2
neck,12
7,62
index,1
collection,4
heads,36
catalogue,3
syllabus,1
might,103
seem,18
impertinent,3
have,555
added,12
book,23
small,104
volume,4
seems,45
ta,8
ble,5
prova9,1
advantagious,1
once,63
learn,23
culture,4
plant,35
evelyns,2
kalender,1
learning,18
reaches,4
farther,7
con,23
tents,5
watts,10
8,41
synopsis,1
many,139
particulars,6
brought,43
ancestors,6
wanting,15
ear,36
nose,12
forged,1
descents,2
boast,5
false,26
honours,9
johnsoan,10
palm,7
mistress,9
fairer,2
history,8
fable,8
benj,15
10,6
draughts,2
pieces,19
wood,46
shifted,2
squares,3
monsieur,2
nice,13
plays,8
chides,1
dice,11
world,93
like,257
men,163
playing,6
chance,14
play,45
fallen,4
manage,5
can,165
taylor,17
11,18
turn,156
change,57
condition,13
fortune,34
two,145
contending,1
parties,6
metaphor,3
taken,114
vicis,1
situde,1
gaming,2
honest,16
would,216
arrant,1
knaves,5
turned,28
ixe2x80x99estrange,1
thus,83
talles,1
ine,2
should,188
fail,13
vain,41
attempt,9
board,4
live,60
another,131
lost,44
kingdom,23
driven,11
society,6
beasts,15
graze,2
oxen,9
south,39
you,467
notion,4
delicacies,2
rank,8
foul,7
feeding,2
felton,3
make,240
down,112
xe2x80xa2,28
could,108
looked,5
without,141
admiration,2
endowments,2
tabled,1
side,49
peruse,1
items,1
shakespeares,59
coaeline,1
beer,5
victuals,2
ter,22
graved,1
oar,17
ink,3
gt,48
think,73
playd,5
desk,2
tablebook,1
hamlet,21
26,26
naturebr,1
c,24
lehook,1
first,123
then,152
pourtrays,1
tab,1
mores,4
antidote,4
oa,465
thebook,1
whatsoever,8
worthy,12
dry,29
natures,19
oal,4
oer,43
old,94
empty,12
rules,14
xc5xa0ioan,1
schools,4
swifts,24
miscel,14
taioarg,1
sloth,2
linen,6
odo,1
holding,8
master,31
doctors,1
mule,1
anne,2
tablecloath,1
camdenxe2x80x99s,1
remains,11
man,216
clericals,1
keys,1
lined,2
colleges,1
use,88
line,28
tablemen,1
bacons,113
nat,76
hisxc5x82,20
tabler,1
boards,1
ains,23
alk,1
talk,41
entertainments,4
discourse,15
praise,20
while,57
stomach,9
xe2x80x94no,2
serve,28
tabletalk,3
shakesp,297
merch,3
venice,10
fate,30
makes,47
divulgd,1
scorn,20
jest,4
grave,14
born,34
drydens,108
juvenal,12
improves,2
tabletal,1
repeats,4
kitchen,5
learns,1
parlour,1
guardian,9
165,1
adversary,1
urge,4
loose,21
controversy,6
build,16
serious,7
inferences,1
spoken,5
atterbury,8
taxe2x80x99blet,1
medicine,7
square,7
form,56
anciently,10
wear,15
tablets,2
arsenick,1
preservatives,1
against,88
venom,4
spirits,41
bacon,129
painted,4
authority,18
alexander,1
through,160
greece,3
young,39
gentlemen,9
learned,18
things,131
design,14
boxen,1
pillard,1
brass,13
mouldring,1
drop,4
victors,3
tabour,12
tabourin,1
drum,17
beaten,13
stick,11
accompany,3
pipe,24
hear,38
pedlar,2
door,14
dance,15
after,112
winters,5
tale,52
shepherd,7
knows,15
thunder,35
know,81
marcius,2
tongue,83
meaner,5
soa,71
coriolanus,27
morricedancers,1
danced,2
maid,19
marian,1
temple,40
totarour,1
taborer,1
strike,27
lightly,8
frequently,6
maids,8
lead,21
voice,32
doves,1
tabouring,1
breasts,3
nah,1
ii,97
tabourer,3
beats,3
et,4
depart,5
manor,4
trumpets,11
tabourets,1
minstrelsey,1
speciat,3
607,2
tabourine,1
frenchj,4
trumpeters,5
brazen,8
din,4
blast,10
citys,2
mingle,7
rattling,5
tabourines,2
heavn,42
earth,111
sounds,17
together,70
applauding,2
approach,13
antony,7
cleopatra,13
tabrere,2
obsolete,12
saw,44
shole,1
shepherds,8
outgo,3
yode,1
lusty,3
merry,12
hornpipe,1
plaid,1
whereto,1
tabret,2
wherefore,3
didst,5
thou,245
steal,7
away,87
sent,25
thee,140
mirth,5
gen,20
xxxi,2
27,17
tabular,2
tabularis,1
synopses,2
formed,14
laminae,1
nodules,2
consist,8
uniform,2
substance,26
point,36
crusted,1
ones,21
nay,5
spotted,3
indeed,18
whatever,9
plated,1
jwoodward,5
fossils,4
tabulate,1
reduce,6
tabla9,1
taroalated,1
having,87
diamonds,1
pointed,7
fix,8
angles,7
tabulated,1
plain,25
grews,13
museum,1
tashe,1
tack,13
hold,48
catch,33
loop,1
button,1
fifty,9
taches,2
gold,66
couple,2
curtains,2
exod,14
xxv,6
taschygraph,1
y,59
rzzoa,1
yoapw,1
art,77
prac,2
tice,3
quick,32
writing,13
spensers,7
pastorals,2
tacit,7
tacite,1
tacitus,1
silent,5
implied,2
expressed,6
formal,2
leagues,2
respective,3
cer,1
enemies,14
natural,32
confederation,1
ongst,1
common,66
enemy,11
human,27
ciety,1
pirates,1
holy,26
war,52
elective,2
governments,4
covenant,5
king,151
making,25
makers,3
princes,17
lestrange,14
captiousness,1
produces,2
misbecoming,1
expressions,6
carriage,11
reproach,8
incivility,1
tacitly,3
adv,103
silently,2
oral,6
expres,4
sion,1
exposing,1
anothers,9
weaknesses,2
aiming,2
commendations,1
indulgence,3
vices,8
since,42
plainly,3
forbidden,3
scripture,16
rogers,8
serm,10
taciturnity,4
taciturnita9,1
taciturnitas,1
habitual,5
silence,9
secretest,1
gift,7
women,27
nunneries,1
grains,8
chastity,2
donne,15
too,122
great,194
loquacity,3
fits,8
arb,4
tacher,1
breton,1
fasten,6
supreme,5
almighty,1
powr,13
thy,297
arm,7
spans,1
east,13
west,6
tacks,1
centre,6
sphere,7
herbert,6
freedom,10
defind,1
living,29
list,8
mind,116
loosely,4
tackd,3
left,57
behind,20
symmetry,1
cloaths,11
fancy,18
appropriates,1
wearer,1
tacking,1
belonged,2
grew,21
frame,17
sticks,4
vered,1
haircloth,1
blanket,1
tacked,5
about,116
edges,5
mortimers,12
husbandry,15
corner,5
hanging,6
wants,9
nail,6
join,11
unite,6
stitch,1
theres,12
shirt,3
half,34
company,21
napkins,1
thrown,29
over,92
shoulders,6
sleeves,2
pleasure,38
variety,5
demanded,4
hopes,12
getting,3
commendam,1
sees,12
discouragement,1
inferior,6
clergy,6
probably,7
tackle,12
ship,16
verseriam,1
construe,2
compass,7
better,61
interpreted,1
rope,10
turns,48
say,49
browns,59
vulgar,19
errours,38
seeing,8
holland,2
fall,65
closer,1
measures,6
swe,2
den,11
triple,19
alliance,2
points,12
nearer,14
