word,count
wbr,2
xmlnsbr,67
xmlnspdivdiv,33
classpagediv,75
no,325
page,82
number,88
divp,75
classtextw,67
a,2444
d,66
is,981
letter,7
of,3018
which,486
the,5105
form,35
not,666
to,3159
be,711
found,61
in,1676
alphabets,1
learned,7
languages,4
though,78
it,754
improbable,1
that,1049
by,632
our,232
w,119
expressed,4
sound,37
roman,11
v,225
and,2923
9,48
eolick,1
f,59
both,60
are,456
ex,16
cluded,1
from,897
derived,8
latin,22
joa,12
sometimes,36
improperly,4
used,98
diphthongs,1
as,678
vowel,1
for,660
view,15
rew,1
consonant,1
uniform,3
wabble,1
n,167
low,28
barbarous,4
word,91
shake,17
move,35
side,47
if,241
your,246
work,106
you,335
find,62
walble,1
one,282
flat,6
inclines,1
right,47
or,694
left,44
hand,69
with,960
soft,31
blows,10
an,312
hammer,3
set,58
rights,3
then,130
screw,2
hard,32
up,166
moxon,7
wad,2
m,183
s,264
peoo,1
hay,3
saxon,218
i,866
bundle,3
straw,9
thrust,5
close,22
together,37
2,391
wadd,1
black,21
lead,23
mineral,1
great,136
use,72
value,13
jzodward,1
wadping,1
vad,1
islandick,11
j,76
kind,46
stuff,4
loosely,4
woven,7
skirts,2
coats,3
stuf,1
fed,7
out,181
wapdle,1
wagghelen,2
dutch,105
waggle,1
whence,30
casual,1
corruption,6
waddle,2
walking,8
deviate,5
motion,31
line,13
she,189
could,98
have,373
run,23
waddled,1
all,452
about,78
shakespeare,355
strutting,2
petticoat,1
smooths,2
levels,1
distinctions,1
while,59
cannot,53
but,459
troubled,6
see,92
so,412
many,100
wellshaped,2
innocent,9
virgins,2
bloated,1
waddling,3
down,80
like,166
bigbellied,1
women,23
speciator,13
noa,19
127,2
farmers,2
goose,3
grown,11
fat,11
corn,15
fitting,4
still,61
can,133
scarce,12
get,23
oer,37
barndoor,1
fill,8
hardly,4
waddles,3
forth,48
cool,3
her,385
belly,3
neighbring,2
pool,2
swift,88
dabchick,2
through,89
copse,2
on,432
feet,13
wings,31
flies,20
wades,4
hops,3
pope,82
dulness,2
business,17
directing,1
soul,55
human,15
heads,11
biass,1
bowl,4
more,227
pondxe2x80x99rous,2
makes,40
their,497
aim,5
true,36
obliquely,1
mark,17
wade,11
vadum,1
lat,22
pronounced,1
wadum,1
1,285
walk,39
waters,19
pass,50
water,105
without,103
swim,6
ming,3
well,148
marketplace,1
frenchmens,2
blood,42
sha,3
waded,4
dirt,3
pluck,1
him,318
off,66
am,54
stept,4
far,41
should,159
returning,3
were,165
tedious,4
go,65
shakesp,165
macbeth,38
he,723
staid,2
seven,3
days,33
at,309
crassus,1
until,6
bridge,1
was,378
made,146
transporting,2
his,919
army,12
river,12
over,47
knolless,4
hist,7
turks,6
since,27
fortunes,8
favours,2
fade,6
arms,38
do,159
sleep,44
learn,6
hearts,16
kings,22
deep,28
jwettons,1
poems,1
head,51
hands,29
pursues,4
way,134
swims,3
sinks,3
creeps,3
flics,1
milton,177
baths,1
where,149
springs,5
arise,7
brown,11
fowls,3
frequent,4
only,79
long,81
legs,11
necks,1
those,151
oars,3
mores,3
divine,13
dialogues,2
birds,10
when,269
difficultly,1
laboriously,1
they,485
permitted,3
enter,9
unto,53
war,81
nor,105
conclude,4
any,236
league,3
peace,32
act,31
moment,5
between,23
them,272
foreign,15
states,5
unless,8
oracle,2
god,125
prophets,3
first,88
consulted,1
hooker,45
b,60
iii,28
whole,43
cause,49
searching,2
truth,37
causes,4
substance,7
controversies,1
whereunto,3
we,294
begun,4
wads,1
rather,26
outward,11
things,90
appertaining,1
church,19
than,198
thing,94
wherein,23
being,120
consisteth,1
virtue,34
gives,22
herself,13
light,50
darkness,3
foar,10
fairy,58
oaur,2
chuse,7
spitting,1
soa,77
toa,75
into,179
dust,7
bearing,1
witness,26
known,10
lord,49
denial,1
truths,3
perjury,2
sceptre,3
thronoa,1
south,26
tis,47
my,407
purpose,12
bottomless,1
con,25
gulph,1
swallowed,1
much,111
time,98
men,135
dec,1
dame,6
xc2xaby,1
oaf,52
piety,14
now,148
tryd,1
stairs,5
wading,2
night,50
searchd,1
recess,2
issuxe2x80x99d,1
dryden,312
wrathful,6
plunges,1
above,37
xc2xa7,21
thickest,2
waves,24
sparkles,2
drove,6
there,176
lights,3
fumes,3
gropeshi,1
halffingd,1
halfstifid,1
ob,14
grope,1
oa,473
simonides,1
contemplated,1
nature,71
deity,1
depth,5
lost,39
himself,68
thought,35
xc5xbdis,1
wafe,1
r,100
wasel,1
thin,11
cake,3
wife,32
make,165
us,118
dinner,5
spare,6
flesh,14
neither,16
wafers,1
cakes,1
sheepe,1
must,109
shorne7,1
t,78
poor,39
sancho,1
persuaded,3
enjoyed,2
doini,1
nion,1
gave,19
nothing,46
subsist,2
upon,227
woasers,1
marmalade,1
bread,10
given,26
eucharist,1
romanists,1
same,63
body,47
christ,9
thousand,24
places,27
once,45
lie,24
hid,4
little,65
woafoar,1
yet,113
members,1
thereof,15
another,63
continue,7
distinct,1
order,21
agreeable,5
mans,25
doth,66
excecd,1
reason,44
hall,7
3,209
paste,2
letters,8
waft,11
probably,4
wave,15
carry,15
air,65
braver,2
choice,17
dauntless,4
spirits,22
english,11
bottoms,4
did,134
never,88
float,7
swelling,8
tide,5
high,40
admiral,2
shall,181
royal,8
fleet,5
whether,44
cripples,1
who,239
looak,2
thighs,3
will,303
sink,5
lungs,5
able,22
bodies,19
others,46
overpoised,1
hinder,3
experiment,2
browns,13
poajar,1
errours,12
dares,3
transportvessel,1
cross,5
such,160
whose,81
bones,8
composd,1
graves,3
hundred,19
years,27
wander,17
shore,10
length,20
penance,2
done,47
wasted,7
lend,3
this,422
wretch,13
sweet,23
banks,8
yon,2
forbidden,2
hence,12
might,65
spring,19
opinion,7
vehicles,1
vulgar,11
conceiving,2
breath,22
wafted,1
carried,7
away,67
ray,11
before,88
troops,13
sicily,1
open,20
ves,2
sels,1
arbuthnot,25
coins,6
vain,24
tell,33
parting,3
lover,2
wish,47
fair,47
winds,23
may,155
alas,7
what,272
happy,27
prove,13
bear,31
me,248
love,105
prior,47
speed,8
intercourse,2
figh,2
indus,1
pole,2
beckon,2
inform,1
sign,4
moving,7
nearer,6
knew,19
surmisd,1
trumpets,3
triumphant,3
entry,2
shouts,2
near,24
citadel,1
ns,239
verb,30
floating,3
bellowing,2
east,4
whirlwinds,3
wing,25
sweeps,5
burthen,3
wintry,6
plains,4
xe2x80xa2,25
rrr,1
wide,39
hxc5xbdoaoars,1
hoanoar,2
streamer,1
token,6
mean,20
infor,1
mation,1
sea,36
30,11
waftagf,1
pdivdiv,42
classtext,2
g,34
warrace,1
oaff,8
carriage,7
1n,1
woa,75
ship,17
epidamnum,1
stays,4
xe2x80x94,2
sent,23
hire,5
wastage,1
stalk,5
door,9
strange,16
stygian,2
staying,3
waftage,1
troilus,3
croassida,1
wast,5
passage,12
boat,5
ainsworth,9
wafture,1
waving,6
answerd,4
angry,10
wasture,1
leave,36
julius,9
casar,5
wag,11
fazian,1
waggon,6
dutchj,1
lightly,3
slightly,4
foa,7
counterfeit,1
tragedian,1
tremble,2
start,7
wagging,1
forbid,1
mountain,2
pines,1
tops,2
noise,20
fretted,1
gusts,2
heavn,36
hiss,3
thee,95
la,5
ii,30
15,8
thou,203
canst,4
wagthy,1
finger,5
begin,14
least,29
tends,3
fin,8
freen,1
white,70
prating,1
magpye,1
hight,1
majestically,1
stately,1
worthless,6
animal,11
plies,3
tongue,28
tail,5
flutter,1
pride,14
talk,11
wa,10
quick,13
ludicrous,4
merry,16
has,91
shrews,1
short,21
tall,1
beards,1
fight,38
theme,2
eyelids,3
longer,8
hamlet,12
moved,7
provoke,6
tot,2
let,129
charms,10
mutterd,1
resty,2
sieve,1
waggxe2x80x99d,1
neer,11
wept,7
woe,16
drydens,46
theocritus,1
poegan,1
cheat,3
ludicrously,2
mischievous,4
droll,1
cupid,5
lately,5
conquerd,2
had,184
wise,48
counsellors,5
stout,2
captains,1
puissant,3
tyd,4
fast,14
triumphs,3
bad,23
glutted,1
plays,4
meanest,2
sidney,75
verier,1
wago,2
th,56
two,67
wink,17
wags,3
offend,4
boy,14
hopes,9
man,199
mend,7
counsellor,2
pleaded,1
piece,16
packthread,1
twist,12
speaking,7
call,35
thread,5
discourse,10
addison,94
wage,14
plural,10
wages,7
wegen,1
wagen,2
german,19
gages,1
fr,8
pay,11
service,11
friends,20
taste,9
foes,6
cup,11
deservings,1
k,30
lear,42
last,29
petition,2
poorest,1
poverty,6
draw,23
duly,3
paid,5
something,28
remember,2
tom,4
thumb,2
engage,7
promise,7
mighty,15
secretly,3
draytons,3
nymphid,2
itself,41
duty,9
glory,8
hath,137
very,70
partly,2
received,9
gage,5
pledge,4
ainsw,7
va,9
origination,1
phrase,11
easily,13
dis,6
covered,4
attempt,10
dan,5
gerous,1
venture,4
think,58
turk,1
unskilful,1
neglecting,1
ease,16
gain,27
wake,19
danger,16
profitless,1
applied,13
return,12
fifty,5
dismissd,1
5,97
abjure,2
roofs,3
against,72
enmity,3
o,92
comrade,2
wolf,8
shaksoa,2
reputation,5
enemies,11
family,8
even,26
within,66
trenches,1
ponderd,1
sons,6
fit,25
sh,3
immortal,6
wit,72
wagoajoaso,1
hou,2
thy,211
works,32
wealth,21
life,85
gold,14
queen,55
4,132
take,84
hold,22
y,79
seemd,6
follower,1
partner,2
ic,4
countenance,5
ad,14
been,89
mercenary,2
shakespeares,62
coa,7
officers,2
admiralty,1
having,59
oaft,7
nefit,1
parts,42
waged,2
exactly,6
look,39
building,5
ships,10
king,110
erected,3
courts,4
ordinary,7
resort,2
charge,8
justice,15
moa,8
also,24
appoint,2
safe,8
custody,3
records,2
ers,1
employ,10
bac,6
came,38
numb,3
toaoa,8
soldiers,8
davies,16
er,35
law,29
avies,1
ireland,22
action,19
debt,1
brought,28
agains,3
money,15
chattles,1
lent,1
defendant,2
swear,4
certain,22
person,26
owes,1
plaintiff,1
ma4nner,1
declared,2
offer,9
oath,11
called,41
1942ampn,1
accomplished,1
milioa,1
doing,15
blui,1
wager,9
wwfij,1
bett,2
anything,30
pledged,1
chance,13
performance,4
mischief,5
moast,2
power,53
strove,4
loud,8
shrouds,2
ghastful,1
witnessed,2
ruin,15
contention,4
full,74
fled,7
ne,8
everlookd,1
behind,14
lay,35
besides,9
these,146
plates,1
horseraces,2
wagers,2
persons,16
please,12
temple,20
factious,1
favoaring,1
tother,3
back,21
wishes,5
atheist,1
stake,3
inexhaustible,1
disproportion,1
hereafter,1
accuse,4
credulity,1
bentleys,4
sermons,43
multiplication,2
actions,11
case,15
