word,count
no,479
page,112
number,138
divp,110
classtext,4
s,404
oal,1
oa,214
j,175
a,3037
c,39
is,1629
in,3113
english,16
considered,12
both,88
as,1025
vowel,4
and,4368
consonant,3
though,145
since,41
the,7608
differ,3
their,685
form,58
well,123
sound,45
they,668
may,325
be,1329
more,344
properly,19
ac,11
counted,5
two,111
letters,17
9,14
i,823
has,131
long,91
fine,16
thine,16
which,800
usually,10
marked,5
by,1143
an,676
e,82
final,8
short,25
fin,26
thin,14
prefixed,1
to,5072
it,1136
makes,54
diphthong,2
of,5873
same,127
with,1360
soft,17
or,1275
double,11
ee,1
thus,67
field,14
yield,15
are,765
spoken,7
feeld,1
yeeld,1
except,11
friend,25
frend,1
subjoined,1
them,405
fail,7
neigh,4
o,67
mingled,13
approaches,4
nearly,5
true,61
tion,49
composed,10
sounds,19
vowels,2
than,276
any,427
other,235
combination,1
language,28
oil,13
coin,4
before,109
another,141
at,316
end,66
word,102
always,34
expressed,12
y,32
invariably,3
that,1447
g,15
giant,4
jade,13
jet,22
jilt,5
jolt,9
just,94
pronoun,6
personal,9
ik,1
gothick,2
ic,1
saxon,24
ich,1
dutchj,1
gen,10
me,220
plural,3
we,472
us,232
1c3,1
pe,1
ur,1
1,564
first,134
person,58
myself,38
do,199
not,1329
like,182
these,218
several,49
councils,3
shakespeare,324
rich,39
iii,61
there,291
none,44
greater,55
this,629
house,31
xxxix,1
good,165
cheer,1
afraid,3
mat,19
xiv,5
27,3
what,289
shall,227
for,746
ever,63
known,28
make,204
age,40
come,75
my,361
own,108
beasts,8
common,77
people,62
dye,3
unless,15
you,285
write,17
elegy,1
cowley,14
hence,10
room,9
when,296
chance,19
business,24
parts,134
our,435
souls,26
wonder,16
book,16
have,478
given,36
large,35
earnest,8
having,81
passd,6
night,35
fruitless,2
pain,33
longing,2
friends,24
return,19
again,37
drydens,96
aen,9
2,636
following,11
passage,16
written,27
but,667
one,485
man,248
whom,62
she,138
can,208
zne,1
clarissa,5
3,249
once,56
ay,2
yes,2
hath,151
romeo,2
slain,7
himself,96
say,35
thou,148
bare,11
poison,13
deathdarting,1
eye,47
cockatrice,1
did,149
your,212
pierce,9
queen,52
xe2x80x93i,1
sir,13
took,20
em,7
read,16
presence,12
now,134
then,133
ample,3
tear,3
trilld,1
down,59
jabber,3
v,421
n,299
gabheren,1
dutch,10
talk,13
idly,7
prate,1
without,290
thinking,7
chatter,1
scorn,9
want,146
parties,19
swift,141
jaeber,1
er,13
ns,528
from,1492
who,300
talks,2
inarticulately,1
unintelligibly,1
out,213
cant,5
babylonian,1
labourers,2
all,638
dialeampts,1
jabberers,1
hudibras,15
p,55
jaca8nt,1
adj,596
jacens,1
latin,605
lying,13
length,22
so,538
laid,31
apt,18
swagging,1
jacent,1
posture,4
woattons,1
architect,2
jacin,1
th,45
hyacinth,3
jerusalem,2
hierusalem,1
gem,2
deep,46
redish,2
yellow,9
approaching,6
flame,9
colour,40
deepest,3
amber,4
woodwards,6
met,10
foass,1
jack,35
probably,7
mistake,6
jaques,1
french,339
7ames,1
diminutive,4
